Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_396.jpg;-15;1;0;3.572997;108.0652;94.759;0.2385132;40.16222;358.9064
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_441.jpg;-15;1;0;3.588359;108.1769;94.84795;0.2228914;38.67845;358.5822
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_490.jpg;-15;1;0;3.595984;108.2886;94.93504;0.1322519;37.30945;358.3641
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_542.jpg;-15;1;0;3.604138;108.4581;95.06156;359.9233;35.39589;358.214
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_590.jpg;15;1;0;3.608173;108.5729;95.14684;359.8772;34.55338;358.2898
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_646.jpg;15;1;0;3.60509;108.7422;95.28283;359.8824;35.06948;358.8328
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_690.jpg;15;1;0;3.687431;108.8592;95.37838;0.046464;35.87903;359.3068
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_746.jpg;15;1;0;3.716174;109.0344;95.52365;0.2832492;37.86799;0.0004751975
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_792.jpg;15;1;0;3.735792;109.1497;95.62277;0.4250444;39.36155;0.4525532
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_841.jpg;15;1;0;3.765641;109.3193;95.77435;0.5462742;41.67039;1.067843
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_891.jpg;15;1;0;3.778815;109.4295;95.87687;0.5382975;43.21938;1.412255
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_940.jpg;-15;1;0;3.787648;109.5951;96.02683;0.3559262;44.43038;1.615661
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_991.jpg;-15;1;0;3.789954;109.7081;96.12204;0.1160833;44.04172;1.470919
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_041.jpg;-15;1;0;3.828902;109.8829;96.26464;359.8414;42.69152;0.9249077
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_091.jpg;-15;1;0;3.891239;110.0038;96.36275;359.8279;41.55327;0.5084022
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_141.jpg;-15;1;0;3.910812;110.1891;96.50822;359.8647;39.44418;359.8451
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_191.jpg;-15;1;0;3.929829;110.3163;96.60358;359.9663;37.95205;359.3817
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_240.jpg;-15;1;0;3.955568;110.5107;96.74268;0.1018448;35.69643;358.7161
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_290.jpg;-15;1;0;3.966156;110.6403;96.83322;0.109295;34.29048;358.388
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_340.jpg;-15;1;0;3.973376;110.8353;96.964;359.9734;32.31361;358.0619
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_390.jpg;15;1;0;3.977036;110.967;97.0504;359.9204;31.33599;357.9884
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_441.jpg;15;1;0;3.976967;111.1625;97.18941;359.9586;31.71036;358.3774
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_490.jpg;15;1;0;3.981817;111.2929;97.28558;0.00839649;32.45547;358.8519
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_540.jpg;15;1;0;4.081303;111.4933;97.43245;0.1745578;34.03391;359.571
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_04_590.jpg;15;1;0;4.100801;111.6267;97.53278;0.3155458;35.438;0.0629756
